"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lat","Lon","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL","Processing","lon","lat","project"
"39001","433","Axe","","Sotheby's Sale 14.12.25, lot 285,Property of Mons. Fenardent","Locality unknown","",,,"","None","None","None","162","edge 83; butt 39.5","","","Mostly medium green this side. On other side patina is covered with greyish soil.","About 3/4 roughs.","5 to 10.5","","","","A flat blade which thickens towards butt. Edge bevelled on one side only.","","Painted on: 14076 BL/-","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/17748835839","https://farm8.staticflickr.com/7757/17748835839_41ff696c08_m.jpg","superuser",,,"ForeignUnprov"
"39002","433","Axe","","Private Collection,1924,H. Mothersole Esq.,Warren House. Roxwell Road, Chelmsford","Locality unknown,Label: owner brought from Northern part of England. Been in possession of family over 60 years. Purchased at Boreham, near Chelmsford, 1923. locality unknown","",,,"","None","None","None","168","edge 61; butt 25.5","","655.28","Fairly thick patina, very dark brown + a dark reddy brown. Medium green on socket sides.","Rather pocked round edge. Each side of socket is much pocked. Slightly corroded in sock. holes.","socket 33","","","","Dented edge. The butt is flattened. Cast mark at C. The dotted lines indicate a bevel to the socket + a hollow that runs along the side of blade. This is only on the other side. Greatest depth 2.5mm.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/17312516094","https://farm8.staticflickr.com/7708/17312516094_5f43739abe_m.jpg","superuser",,,"ForeignUnprov"
"39003","433","Axe","","Private Collection,F. Ransom Esq., Hitchin","","",,,"","None","None","None","139.5","edge 106; stem 18; socket 36","","590.85","Dark green rough patina shows where encrustment is chipped, near edge at one side.","Rough and much encrusted - light greyish green + rust colour.","socket 35","","","","Decorated with a hollowed pattern on each side. Socket is full of clay and some in hollows of decoration.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/17934681725","https://farm8.staticflickr.com/7753/17934681725_de67a94b51_m.jpg","superuser",,,"ForeignUnprov"
"39004","433","Axe","","W. C. Martins, George Rd. Edgbaston","Locality unknown","",,,"","None","None","None","137","","103","","Dark Bronze-Green","Smooth but considerably ""bellied""","","","","","","","See Windle pp. 94-95, Fig. 39","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/17748425009","https://farm9.staticflickr.com/8869/17748425009_73ee4c5ffc_m.jpg","superuser",,,"ForeignUnprov"
"39005","433","Flanged Celt","","Private Collection,Sotheby's 24.v.21, Lot 308","","",,,"","None","None","None","181","24","58","","A polished pale green patina showing beneath above.","Rough all over, with a sort of ""bubbly"" yet rough corrosion covering the surface. This is of various shades of green.","11, 9, 12; 10,15","","","","This looks as if it might have been subjected to fire.","","Labelled on blade: Bazzans, Italy, St/-","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/17936559631","https://farm6.staticflickr.com/5337/17936559631_2342fa0bdd_m.jpg","superuser",,,"ForeignUnprov"
"39006","433","Flanged Celt","","Private Collection,Sotheby's 24.v.21, Lot 308","","",,,"","None","None","None","190","39","60","","Pale olive green patina with golden bronze showing on sides of flanges.","Smooth. Clay adhering on septum about position of section.","34, 36, 8, 16","","Bronze","","","","A note on blade in ink: ""Roman or Etrexcan. Bought 15/- 1/10/49 (79, 99?)"" ? the year is indistinct.","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/17935486091","https://farm9.staticflickr.com/8891/17935486091_0d01670291_m.jpg","superuser",,,"ForeignUnprov"
"39007","433","Axe","","At Sotheby's Sale 31.7.23 (?),Bought by a dealer from MacGregor Collection (Lot 245)","Locality unknown","",,,"","None","None","None","","44 x 44 (edge to handle)","","49.61 gms including handle","","Rust coloured copper, with a few specks of corrosion","even thickness of 1mm","","","","The blade is wedged into a slot.","","Catalogued as: ""Ancient Egyptian Axe. Copper head + wood handle.""","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/17936616151","https://farm9.staticflickr.com/8864/17936616151_9da755e06d_m.jpg","superuser",,,"ForeignUnprov"
"39008","433","Axe","","Mr. Christopher Martin,George Rd. Edgbaston, B'ham.","","",,,"","None","None","None","","","","","","","","","Bronze","","This was described to me as a ""double Axe"" it is one of 3 recorded on a staff card, it is certainly the roughest + most uncouth object I have ever sketched in sketches No. 55 + 56.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/17935922295","https://farm8.staticflickr.com/7791/17935922295_265b945227_m.jpg","superuser",,,"ForeignUnprov"
"39009","433","Dagger","","Sotheby's Sale 31.7.23, (Mrs. Randolph Berens) Lot 96,14 Princes Gdns, S.W.","Locality unknown","",,,"","None","None","None","227","blade 21, 43.5; hilt 50","","99.22","Dark brown matte.","Slightly rough - a little encrustment. Very coppery in appearance.","19 hilt; 3.5 blade","","","","The hilt consists of ivory + wood, in which are 11 rivets.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/17748412269","https://farm9.staticflickr.com/8757/17748412269_789e6ceb9c_m.jpg","superuser",,,"ForeignUnprov"
"39010","433","Tanged Dagger","","Sotheby's Sale, 12.ix.28,Lot No. 346 - 3 Daggers,Vendor, a Nobleman","","",,,"","None","None","None","155","25","","56.7","","","7","Weight: 2 oz. = 56.69 gms","","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/17312473334","https://farm8.staticflickr.com/7727/17312473334_87b9d7dc37_m.jpg","superuser",,,"ForeignUnprov"
"39011","433","Tanged Dagger","","Sotheby's Sale, 12.xi. 28,Lot No. 346 3 daggers,Vendor, a Nobleman","","",,,"","None","None","None","157","25","","56.7","","","6","Weight: 2 oz. = 56.699 gms","","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/17314160143","https://farm8.staticflickr.com/7690/17314160143_d4c4d5ab5f_m.jpg","superuser",,,"ForeignUnprov"
"39012","433","Dagger","","Sotheby's Sale 31.7.23, Lot 96,(Mrs. Randolph Berens),14 Princes Gdns, SW","Locality unknown","",,,"","None","None","None","248","blade 36, 40; hilt 42","","128","Dark brown patina and golden bronze.","Smooth","blade 5","","","","The shaded portion denotes remains of wood rivetted and tacked to hilt.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/17748078808","https://farm6.staticflickr.com/5330/17748078808_83a3d16e7a_m.jpg","superuser",,,"ForeignUnprov"
"39013","433","Knife","","Peabody Museum,E 2326,Harvard University,Cambridge Mass., Bequest of Prof. H. W. Haynes, 1912","Locality unknown","",,,"","None","None","None","144","blade 18","","","Near tang. Point polished.","","blade 5","","","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/17748078348","https://farm6.staticflickr.com/5339/17748078348_db8cb5c33b_m.jpg","superuser",,,"ForeignUnprov"
"39014","433","Knife","","Brentford Public Library,Layton Collection, O 1274","Locality unknown","",,,"","None","None","None","147","18","","","No patina.","Dark brown bronze: smooth.","blade 3.25","","","","Very coppery. Edges are thinnest at curved top; this seems to have been the cutting edge. A - very slightly raised on this face only.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/17908374726","https://farm6.staticflickr.com/5342/17908374726_b5801e0b11_m.jpg","superuser",,,"ForeignUnprov"
"39015","433","Knife","","Pitt Rivers Museum, Farnham,Label: Bronze knife bought at Christie's Apl. 20, 1891","Locality unknown","",,,"","None","None","None","129","blade 17, 19; tang 8","","28.35","Yellow ochre","Smooth","blade 8","","","","Edge slightly indented.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/17932248762","https://farm6.staticflickr.com/5343/17932248762_ce40da81f9_m.jpg","superuser",,,"ForeignUnprov"
"39016","433","Knife","","Ashmolean Museum, Oxford,1836 p. 122, No. 29,Old Collection","(Provenance unknown)","",,,"","None","None","None","226","21.5","","90.35","","","6","","","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/17909523946","https://farm9.staticflickr.com/8857/17909523946_c34461d7eb_m.jpg","superuser",,,"ForeignUnprov"
