"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lat","Lon","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL","Processing","lon","lat","project"
"40249","433","Knife, curved (broken)","","ex. Rlv. Kennard's,Sotheby's Sale, 25.6.iii.30, Lot 48","Switzerland,Lake Dwelling","Switzerland","46.818188","8.227511999999933","","None","None","None","140","20","","","","","","","","","Broken across blade: probably ended in a short tang. Decorated.","Sotheby's Catalogue, 25-6, iii, 30, p. 7","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18338500052","https://farm8.staticflickr.com/7760/18338500052_a47901c5fc_m.jpg","superuser",8.2275,46.8182,"ForeignTools"
"40250","433","Knife","","Peabody Museum,Harvard University,E2180,Cambridge, Mass.,Bequest of Prof. H. W. Haynes, 1912","Switzerland?","Switzerland","46.818188","8.227511999999933","","None","None","None","130","23","","","No patina","","8","","","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18342502385","https://farm1.staticflickr.com/370/18342502385_5708ba0355_m.jpg","superuser",8.2275,46.8182,"ForeignTools"
"40251","433","Knife","","Chadwick Museum, Bolton","Switzerland,Canton Berne,Nidau (Lake Bienne)","Nidau, Switzerland","47.12441159999999","7.237288700000022","","None","None","None","160","blade 14; tang collar 12","","42","","Deeply pitted","blade 7","","Bronze","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18342502275","https://farm8.staticflickr.com/7728/18342502275_6e538b2a7e_m.jpg","superuser",7.2373,47.1244,"ForeignTools"
"40252","433","Knife","","Peabody Museum, 6031,Harvard University,Cambridge, Mass.","Switzerland,Friburg,Estavayer","Estavayer-le-Lac, Switzerland","46.8466059","6.84688749999998","","None","None","None","246","blade 21","","","","Natural, considerably discoloured.","6","","","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18154646298","https://farm8.staticflickr.com/7735/18154646298_836dd00306_m.jpg","superuser",6.8469,46.8466,"ForeignTools"
"40253","433","Knife","","Peabody Museum,5858,Harvard University,Cambridge, Mass.,Received by purchase 1871,Collected by Dr. Clement.","Switzerland,Friburg,Estavayer,Lake Dwelling","Estavayer-le-Lac, Switzerland","46.8466059","6.84688749999998","","None","None","None","199","blade 16; tang 13","","","","Natural, slightly discoloured.","back 6 (tapering to point)","","","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18316053016","https://farm8.staticflickr.com/7787/18316053016_9f2c4bd37e_m.jpg","superuser",6.8469,46.8466,"ForeignTools"
"40254","433","Knife","","Peabody Museum, 3388,Harvard University,Cambridge, Mass.,Purchased 1868,Collected by G. de Mortillet","Switzerland,Neuchatel,Lake Neuchatel,Auvernier","Auvernier, Switzerland","46.97496","6.878609999999981","","None","None","None","112","blade 12; stop on tang 13.5","","","","","5","","","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18342501975","https://farm9.staticflickr.com/8760/18342501975_c362d255dc_m.jpg","superuser",6.8786,46.975,"ForeignTools"
"40255","433","Knife","","Peabody Museum,Harvard University, Cambridge, Mass.,Received by purchase, 1868.,Collected by G. de Mortillet, 3388.","Switzerland,Neuchatel,Lake Neuchatel,Auvernier (or Corcelettes),(Bevaix on label)","Auvernier, Switzerland","46.97496","6.878609999999981","","None","None","None","197","blade 18","","","","Natural, discoloured. Slight encrustation as shown.","Thickness of back: 1, 3, 5.5, 8, 4","","","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18154757590","https://farm1.staticflickr.com/306/18154757590_66068a3557_m.jpg","superuser",6.8786,46.975,"ForeignTools"
"40256","433","Knife","","Chadwick Museum, Bolton","Switzerland,Canton Neuchatel,Auvernier","Auvernier, Switzerland","46.97496","6.878609999999981","","None","None","None","116","blade 20; tang 14","","40","","","blade 7; tang 13","","Bronze","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18342501855","https://farm1.staticflickr.com/351/18342501855_bdc218d006_m.jpg","superuser",6.8786,46.975,"ForeignTools"
"40257","433","Knife","","Peabody Museum,Harvard University,Cambridge, Mass,Received by purchase 1871,Collected by Dr. Clement,6032","Switzerland,Neuchatel,Concise,Lake Dwelling","Concise, Switzerland","46.8519","6.718629999999962","","None","None","None","221","blade 26","","","","natural, somewhat discoloured","5, 8","","","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18343953541","https://farm8.staticflickr.com/7763/18343953541_7dc3e5f967_m.jpg","superuser",6.7186,46.8519,"ForeignTools"
"40258","433","Knife","","Peabody Museum,Harvard University,Cambridge, Mass.,6032,received by purchase 1871,Collected by Dr. Clement","Switzerland,Neuchatel,Concise,Lake Dwelling","Concise, Switzerland","46.8519","6.718629999999962","","None","None","None","125","blade 13","","","Traces of patina green","Natural","7, 2","","","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18342501515","https://farm9.staticflickr.com/8837/18342501515_77100c8bd2_m.jpg","superuser",6.7186,46.8519,"ForeignTools"
"40259","433","(Sickle or) Curved Knife","","University Museum, Birmingham,DCCCXLVIII","Switzerland","Switzerland","46.818188","8.227511999999933","","None","None","None","180","","","","","","","","","","Curved blade","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18342501385","https://farm1.staticflickr.com/336/18342501385_ae153210f3_m.jpg","superuser",8.2275,46.8182,"ForeignTools"
"40260","433","Knife","","Pitt Rivers Museum, Farnham","Switzerland,Lake Dwellings","Switzerland","46.818188","8.227511999999933","","None","None","None","245","blade 23, 26","","56.7","Ochre","Smooth","blade 5","","","","Edge damaged","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18154757180","https://farm8.staticflickr.com/7739/18154757180_ffed931fc2_m.jpg","superuser",8.2275,46.8182,"ForeignTools"
"40261","433","Knife","","Farnham Museum, Dorset","Switzerland,Berne,Moeringen (on Lake Bienne),Label: Bronze knife + handle from Moringen, Switzerland","Meiringen, Switzerland","46.7273913","8.185877300000016","","None","None","None","290","blade 21, 24; handle 22","","170.1","","Smooth, bronze colour.","","","","","Edge slightly indented.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/17719870694","https://farm9.staticflickr.com/8887/17719870694_14d7d01f44_m.jpg","superuser",8.1859,46.7274,"ForeignTools"
"40262","433","Fish Hooks","","Christie's Sale, 14.7.24, 65/3,Late Earl of Northesk (Rosehill Collection)","Switzerland,Swiss Lakes","Switzerland","46.818188","8.227511999999933","","None","None","None","A: 32; B: 39; C: 23","","","","","","B: 2","","","","Made of bronze wire. A: without barb. B: with barb, lower half covered with a gilt overlay. C: without barb - the other end is cut + split to a Y shape for fastening.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/17721832353","https://farm8.staticflickr.com/7793/17721832353_2baba8b807_m.jpg","superuser",8.2275,46.8182,"ForeignTools"
"40263","433","Fish Hook","","Horniman Museum,Forest  HIll, SE,Bought from Backhouse Collection","Switzerland,Swiss Lake Dwellings","Switzerland","46.818188","8.227511999999933","","None","None","None","57","22","","","No patina","Smooth, copperish colour","3 x 2","","Bronze","","Well preserved.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18154756410","https://farm8.staticflickr.com/7778/18154756410_0ded0a8706_m.jpg","superuser",8.2275,46.8182,"ForeignTools"
"40264","433","Fish Hook","","Horniman Museum,Forest Hill, SE,Bought from the Backhouse Collection","Switzerland,Swiss Lake Dwellings","Switzerland","46.818188","8.227511999999933","","None","None","None","23","30","","","No patina","Smooth + mostly bright golden colour","about 2","","Bronze","","Well preserved. Made of squarish wire.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/17719870614","https://farm9.staticflickr.com/8853/17719870614_37566b91a6_m.jpg","superuser",8.2275,46.8182,"ForeignTools"
"40265","433","Fish hook","","Christie's Sale, 14.7.24; 65/9,Late Earl of Northesk (Rosehill Collection)","Switzerland,Swiss Lakes","Switzerland","46.818188","8.227511999999933","","None","None","None","64","62","","","Grey green","","2, 2.5","","","","Made of bent wire with sharpened ends.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18343952341","https://farm9.staticflickr.com/8868/18343952341_7f27328457_m.jpg","superuser",8.2275,46.8182,"ForeignTools"
"40266","433","Gouge","","Christie's Sale, 14.7.24,63/3,Late Earl of Northesk (Rosehill Collection)","Switzerland,Swiss Lakes","Switzerland","46.818188","8.227511999999933","","None","None","None","74","socket 17","15.75","","No patina, dark golden bronze","Smooth","socket 17","","","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18343952311","https://farm1.staticflickr.com/537/18343952311_90e15d5ca9_m.jpg","superuser",8.2275,46.8182,"ForeignTools"
"40267","433","Hammer","","Pitt Rivers Museum, Farnham","Switzerland,Neuchatel,Lake Neuchatel","Neuchâtel, Switzerland","46.99297929999999","6.931932500000016","","None","None","None","53","head 23; middle 22; socket 26","","113.39","Black + green patches","Rough","head 21; middle 22; socket 25","","","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18154644388","https://farm1.staticflickr.com/335/18154644388_517a1bc24d_m.jpg","superuser",6.9319,46.993,"ForeignTools"
"40268","433","Needle","","Mr. Bushnell, Cheltenham","Switzerland,Found in a lake","Switzerland","46.818188","8.227511999999933","","None","None","None","86","","","6","Light green patina","Smooth","","","Bronze","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18154755710","https://farm8.staticflickr.com/7757/18154755710_88ee45af40_m.jpg","superuser",8.2275,46.8182,"ForeignTools"
"40269","433","Needle","","Private Collection,Professor Sir Lucas White King, CSI, LLD, FSA,Late of Roebuck Hall, Co. Dublin,Sold by Auction at Sotheby's, 9.11.21,Lot 115","Switzerland,Swiss Lake Dwellings,Onnens,?Concise","Onnens, Switzerland","46.8396252","6.686404799999991","","None","None","None","82.5","","","","No patina","Smooth - dark golden bronze colour.","2, 2.5","","","","Round in section, splendidly preserved.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18154755530","https://farm8.staticflickr.com/7777/18154755530_c54667f7da_m.jpg","superuser",6.6864,46.8396,"ForeignTools"
"40270","433","Pin","","Mr. Bushnell, Cheltenham","Switzerland,Bern,Morigen, by Lake Bienne,Found in the Lake,Label: ""Hairpin found in Morigen Lake in Switzerland""","Mörigen, Switzerland","47.0837781","7.2107687999999825","","None","None","None","","","","8","","Smooth + clean","","","Bronze","","The lines under head are not rings, but a spiral line, or rather a helical line.","","Nothing more known","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/17719869504","https://farm8.staticflickr.com/7740/17719869504_df5e4d7dae_m.jpg","superuser",7.2108,47.0838,"ForeignTools"
